id	source_japanese
question-01	あなたがその場にいなかったのは事実ですよね？
question-02	あなたの証言は矛盾していないのですか？
question-03	この行動が事前に計画されたものではないですか？
question-04	この裁判の手続きを知っていますよね？
question-05	この事件の重要性は理解されていますよね？
question-06	この事実は重要であるということに異論はないですよね？
question-07	この事実を無視することはできませんよね？
question-08	この書類には無効な部分が含まれていないのでしょうか？
question-09	この証拠は確実ではないんですよね？
question-10	この証拠は本件と関係がないのではないですか？
question-11	この調査は十分に行われていなかったのではありませんか？
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？
question-13	その点については異論の余地がないですよね？
question-14	その日に誰も彼を見かけなかったのではありませんか？
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？
question-20	証拠が正当に収集されたことを確認していますか？
question-21	証拠を見れば、明らかに一致しますよね？
question-22	証拠資料は全て揃っているのですよね？
question-23	証拠品があなたのものであると確認したのではないですか？
question-24	証人の供述には矛盾がありますよね？
question-25	証人は以前にも同様の証言をしましたよね？
question-26	証人は当日の出来事を全て覚えているのですね？
question-27	真実を隠す理由が他にあるわけではないですよね？
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？
question-30	他にも疑問を持つべき点があるのではないですか？
question-31	誰が見ても不自然な流れですよね？
question-32	誰しも誤解や誤認をすることがありますよね？
question-33	適正な手続きを踏まなければならないのは当然ですよね？
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？
question-37	被告人が現場にいたことは間違いないのですか？
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？
question-39	被告人のアリバイが成立しないということは明らかではないですか？
question-40	被告人の証言は信じがたいですよね？
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？
question-42	被告人の陳述は一貫していますよね？
question-43	被告人はその現場にいなかったのではありませんか？
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？
question-45	被告人にはアリバイがないのですか？
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？
question-47	弁護士が提出した資料は全て確認済みではないですか？
question-48	法廷での宣誓を理解していますね？
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？
question-50	目撃者の証言が矛盾しているとは思いませんか？
