metrics,dataset,language,spearman,spearman_pval,kendall,kendall_pval
omission,handbook,english,-0.0284,0.7441,-0.0238,0.7428
omission,handbook,chinese,-0.1086,0.2100,-0.0907,0.2088
omission,handbook,vietnamese,-0.0279,0.7482,-0.0231,0.7469
addition,handbook,english,nan,nan,nan,nan
addition,handbook,chinese,0.1758,0.0414,0.1469,0.0419
addition,handbook,vietnamese,-0.0154,0.8590,-0.0128,0.8582
word_meaning,handbook,english,0.2300,0.0073,0.1821,0.0063
word_meaning,handbook,chinese,0.4021,0.0000,0.3053,0.0000
word_meaning,handbook,vietnamese,0.3449,0.0000,0.2601,0.0001
fluency,handbook,english,0.2962,0.0005,0.2355,0.0004
fluency,handbook,chinese,0.2642,0.0020,0.1970,0.0030
fluency,handbook,vietnamese,0.3592,0.0000,0.2870,0.0000
